"Título","Tipo de activo","Suministró los datos","Categoría","Descripción","Etapa de publicación","Municipio","Nombre entidad","Orden","Departamento","Frequencia actualización","Fecha de creación","Fecha de publicación","Fecha última actualización","CALIFICACIÓN FINAL CALIDAD","NIVEL SELLO EXCELENCIA"
"PLAN ANUAL DE ADQUISICIONES ALCALDÍA MUNICIPIO DE LA UNIÓN, VALLE DEL CAUCA 2024","dataset","Alcaldía Municipal de La Unión, Valle Del Cauca","Función pública","El Plan Anual de Adquisiciones (PAA) de la Alcaldía de La Unión, Valle del Cauca, Vigencia 2024. Este contiene los requisitos de bienes y servicios necesarios para el logro de los objetivos institucionales. Es una herramienta que ayuda a la entidad a identificar, registrar, programar y divulgar sus necesidades de bienes, obras y servicios.","published","La Unión, Valle del Cauca","Alcaldía de La Unión, Valle del Cauca","Territorial","Valle del Cauca","Anual","2024 Oct 26 02:50:00 PM","2024 Oct 30 07:51:00 PM","2024 Oct 30 07:51:00 PM","8.87","0"
"Administrativos Universidad del Magdalena","dataset","Universidad del Magdalena","Educación","Funcionarios administrativos de planta desde el año 2019.","published","Santa Marta","Universidad del Magdalena","Territorial","Magdalena","Anual","2021 Mar 31 07:14:00 PM","2021 Mar 31 07:27:00 PM","2024 Jan 17 02:22:00 PM","8.87","0"
"Evaluación de tierras con fines agrícolas para el cultivo tradicional de yuca (Manihot esculenta Crantz.), en el departamento del Cesar.","dataset","Unidad de Planificación Rural Agropecuaria - UPRA","Agricultura y Desarrollo Rural","El mapa es el producto resultante de la validación y aplicación de la metodología de Evaluación de Tierras a escala 1:100.000, para la formulación del Plan de Ordenamiento Productivo y Social de la Propiedad Rural, así como la realización del Análisis Hidrológico para generar soluciones de Irrigación para zonas y sectores productivos estratégicos en el departamento del Cesar. Se realiza la zonificación para la apuesta productiva del cultivo tradicional de yuca (Manihot esculenta Crantz.) para la obtención de tubérculos como alimento de los seres humanos para el mercado nacional.

Aptitud: Áreas con potencial para el establecimiento y desarrollo del cultivo comercial de yuca bajo un marco legal, normativo y técnico que las define y diferencia de otros usos posibles.

Categorías:
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico.
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico.
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías.
No Apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad.
Exclusiones legales: Zonas en las cuales, por mandato legal, no se permite el desarrollo del cultivo comercial de yuca.","published","Bogotá D.C.","Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios","Nacional","Bogotá D.C.","Trienio","2018 Dec 21 03:45:00 PM","2018 Dec 21 04:52:00 PM","2018 Dec 21 04:52:00 PM","8.26","0"
"Informacion_clasificada_y_reservada_Notaria_Primera_Envigado","dataset","Notaría Primera del Círculo de Envigado","Función pública",,"published","Envigado","Notaría Primera del Círculo de Envigado","Territorial","Antioquia","Anual","2022 Sep 28 11:28:00 PM","2022 Sep 28 11:32:00 PM","2022 Sep 30 10:01:00 PM","7.71","0"
"ACTIVIDADES DE EMPRENDIMIENTO EN MADRID","dataset","Secretaria de Desarrollo economico","Comercio, Industria y Turismo","Listado de las actividades de emprendimiento en Madrid Cundinamarca","published","Madrid","Alcaldía de Madrid","Territorial","Cundinamarca","Anual","2022 Feb 08 03:57:00 PM","2022 Feb 08 04:13:00 PM","2024 Oct 28 02:41:00 PM","8.11","1"
"Índice de información clasificada y reservada -ANIVBV","dataset","Agencia Nacional Inmobiliaria Virgilio Barco Vargas","Función pública",,"published","Bogotá D.C.","Agencia Nacional Inmobiliaria Virgilio Barco Vargas","Nacional","Bogotá D.C.","Anual","2020 Oct 14 01:58:00 PM","2020 Oct 14 02:02:00 PM","2020 Oct 14 02:02:00 PM","7.66","0"
"Cámaras de seguridad en Palmira 2021-2022","dataset","alcaldía de Palmira","Seguridad y Defensa","Cámaras de seguridad en el municipio de Palmira","published","Palmira","Alcaldía de Palmira","Territorial","Valle del Cauca","Anual","2021 Oct 28 09:31:00 PM","2023 Sep 26 04:41:00 PM","2023 Sep 26 04:41:00 PM","8.81","0"
"Registro De Activos De Información Alcaldía De Tununguá","dataset",,"Función pública","El Registro de Activos de Información es un inventario organizado de la información que se encuentra en posesión, custodia o bajo control de la entidad, independientemente del formato físico o electrónico. Es útil para identificar la información que posee la entidad y en dónde puede ser consultada, ayuda a preservar la memoria institucional y por tanto facilita la continuidad en los procesos administrativos y de gestión","published","Tununguá","Alcaldía de Tunungá","Territorial","Boyacá","Anual","2020 Sep 23 04:30:00 PM","2020 Oct 13 01:46:00 AM","2020 Oct 13 01:46:00 AM","7.28","0"
"Índice de Información Clasificada y Reservada","dataset","Notaría Primera del Círculo de Barrancabermeja","Función pública",,"published","Barrancabermeja","Notaría Primera del Círculo de Barrancabermeja","Territorial","Santander","Anual","2024 Oct 07 08:01:00 PM","2024 Jul 31 04:32:00 PM","2024 Jul 31 04:31:00 PM","8.16","0"
"PRIMER CURSO POR DEPARTAMENTO DE PROCEDENCIA","dataset","Universidad del Quindío","Educación","Estudiantes de primer curso por departamento de procedencia varios periodos","published","Armenia","Universidad del Quindío","Territorial","Quindío","Semestral","2022 Jun 21 03:49:00 PM","2022 Jun 21 04:28:00 PM","2022 Jun 21 04:27:00 PM","9.13","1"
"Mapa Ubicación puntos de navegación WiFi en Los Patios","dataset","Alcaldía Los Patios","Ciencia, Tecnología e Innovación",,"published","Los Patios","Alcaldía de Los Patios","Territorial","Norte de Santander","Anual","2016 Dec 06 04:38:00 PM","2016 Dec 06 04:39:00 PM","2016 Dec 06 04:39:00 PM","6.97","0"
"CONTRATACION 2016 SAN ROQUE ANTIOQUIA","dataset","Alcaldía Municipal de San Roque","Función pública","PROCESOS DE CONTRATACION","published","San Roque","Alcaldía de San Roque","Territorial","Antioquia","Anual","2017 Apr 05 04:37:00 AM","2017 Apr 05 04:40:00 AM","2017 Apr 05 04:37:00 AM","7.15","0"
"layer_2","dataset","Gobernación del Amazonas","Mapas Nacionales","Areas no municipalizadas y Municipios del Departamento del Amazonas","published","Leticia","Gobernación de Amazonas","Territorial","Amazonas","Anual","2018 Jul 17 02:01:00 PM","2018 Jul 17 02:17:00 PM","2018 Jul 17 02:17:00 PM","7.92","0"
"Enfermedades Inmunoprevenibles","dataset","Gobernacion del Quindio","Salud y Protección Social","casos registrados de Enfermedades Inmuniprevenibles desde el año 2012 al año 2016","published","Armenia","Gobernación de Quindío","Territorial","Quindío","Anual","2018 Nov 27 03:06:00 PM","2018 Nov 27 03:36:00 PM","2018 Nov 27 03:36:00 PM","6.94","0"
"Matricula nuevos de segundo semestre de 2015 - UPTC","dataset","Universidad Pedagógica y Tecnológica de Colombia","Educación","Matricula de estudiantes nuevos de segundo semestre de 2015","published","Tunja","Universidad Pedagógica y Tecnológica de Colombia","Nacional","Boyacá","Semestral","2016 Jul 14 08:41:00 PM","2017 Apr 08 02:54:00 PM","2017 Apr 08 02:54:00 PM","7.57","0"
"Monitoreo fuentes hídricas del municipio de Fusagasugá","dataset","Oficina de Gestión del Riesgo y Desastres","Ambiente y Desarrollo Sostenible","El conjunto de datos corresponde a la identificación del comportamiento de las fuentes hídricas del municipio de Fusagasugá, es decir, las corrientes de agua, ya sean subterráneas o sobre la superficie.","published","Fusagasugá","Alcaldía de Fusagasugá","Territorial","Cundinamarca","Anual","2023 Aug 08 09:00:00 PM","2023 Aug 08 09:11:00 PM","2024 Oct 30 09:17:00 PM","9.28","1"
"Índice de Información Clasificada y Reservada","dataset",,"Educación",,"published","Floridablanca","Escuela de Capacitación Municipal de Floridablanca, ECAM","Territorial","Santander","Anual","2024 Jul 30 09:20:00 AM","2024 Jul 30 09:28:00 AM","2024 Jul 30 09:28:00 AM","7.01","0"
"HOGARES ICBF, JARDINES Y LUDOTECAS MUNICIPALES DE MOSQUERA CUNDINAMARCA","dataset","ALCALDIA MUNICIPAL DE MOSQUERA - CUNDINAMARCA","Educación","Listado de hogares de ICBF, jardines infantiles y ludotecas municipales en el municipio de Mosquera 2022","published","Mosquera","Alcaldía de Mosquera","Territorial","Cundinamarca","Anual","2016 Oct 03 06:19:00 PM","2022 Aug 24 02:59:00 PM","2022 Aug 24 03:40:00 PM","7.71","1"
"INFORMACION CLASIFICADA Y RESERVADA ESE BCA","dataset","EMPRESA SOCIAL DEL ESTADO BARRANCABERMEJA","Salud y Protección Social","INDICE DE INFORMACION CLASIFICADA Y RESERVADA ESE BCA","published","Barrancabermeja","E.S.E. Barrancabermeja","Territorial","Santander","Anual","2022 Dec 22 02:16:00 PM","2022 Dec 22 02:22:00 PM","2024 Oct 30 03:17:00 PM","8.2","0"
"OFERTA DE SERVICIOS OBJETO SOCIAL DIFERENTE A LA PRESTACIÓN DE SERVICIOS DE SALUD - Alcaldía Mpal de Tunja","dataset","ALCALDÍA MAYOR DE TUNJA","Salud y Protección Social","OFERTA DE SERVICIOS OBJETO SOCIAL DIFERENTE A LA PRESTACIÓN DE SERVICIOS DE SALUD, TUNJA AÑO 2015 - Alcaldía de Tunja","published","Tunja","Alcaldía de Tunja","Territorial","Boyacá","Semestral","2016 Sep 27 08:08:00 PM","2016 Sep 27 08:14:00 PM","2016 Sep 27 08:08:00 PM","6.72","0"
"SECRETARIA DE GOBIERNO ABRIL - OCTUBRE 2017","dataset","Alcaldía Municipal de Funza","Seguridad y Defensa",,"published","Funza","Alcaldía de Funza","Territorial","Cundinamarca","Mensual","2017 May 22 02:09:00 PM","2017 Nov 20 08:34:00 PM","2017 Nov 20 08:33:00 PM","6.78","0"
"Instituciones educativas del valle de San Jose","dataset","Alcaldía Municipal de Valle de San José en Santander","Cultura","inf genral de las istituciones educativas del municipio de Valle de San Jose","published","Valle de San José","Alcaldía de Valle de San José","Territorial","Santander","Anual","2016 Jul 13 08:57:00 PM","2016 Jul 13 08:57:00 PM","2016 Jul 13 08:57:00 PM","7.59","0"
"Plan indicativo Alcaldía de Popayan 2012 a 2015","dataset","Alcaldía Municipal de Popayán en Cauca","Función pública","plan de indicativos para los cuatro años de gobierno de 2012 a 2015","published","Popayán","Alcaldía de Popayán","Territorial","Cauca","Nunca","2016 Jul 14 07:59:00 PM","2016 Jul 14 08:00:00 PM","2016 Jul 14 08:00:00 PM","7.12","0"
"Códigos Postales Nacionales","dataset","Servicios Postales Nacionales S.A.","Ordenamiento Territorial",,"published","Bogotá D.C.","Servicios Postales Nacionales S.A.","Nacional","Bogotá D.C.","Trienio","2020 Nov 24 01:28:00 PM","2020 Nov 24 01:34:00 PM","2020 Nov 24 01:34:00 PM","7.81","0"
"Formato Único de Inventario Documental - FUID","dataset",,"Deporte y Recreación","Son los activos de información correspondientes a el formato único de inventario documental de la Fundación Gilberto Álzate Avendaño.","published","Bogotá D.C.","Fundación Gilberto Alzate Avendaño","Territorial","Bogotá D.C.","Anual","2021 Sep 28 10:17:00 PM","2021 Sep 30 03:47:00 PM","2021 Sep 30 03:47:00 PM","7.32","0"
"Barrios Y Veredas","dataset","Alcaldía Municipal de Caldas en Antioquia","Ordenamiento Territorial","Este conjunto de datos contiene los barrios y veredas del Municipio","published","Caldas","Alcaldía de Caldas","Territorial","Antioquia","Trienio","2017 Apr 05 03:59:00 PM","2017 May 05 12:57:00 PM","2017 May 05 12:56:00 PM","8","0"
"AMBIENTE FÍSICO ANIMALES","dataset","Alcaldia de Pereira","Salud y Protección Social","Caracterización de viviendas estrategia APS (atención primaria en salud)","published","Pereira","Alcaldía de Pereira","Territorial","Risaralda","Anual","2019 Mar 12 01:28:00 PM","2024 Oct 23 02:35:00 AM","2024 Oct 23 02:35:00 AM","8.78","0"
"Información Violencia de género Municipio de Tunja, Boyacá 5","dataset","Alcaldía Mayor de Tunja","Salud y Protección Social","Información Violencia de género Municipio de Tunja, Boyacá reportada por las UPGD. (Unidades Primarias Generadoras de Dato)","published","Tunja","Alcaldía de Tunja","Territorial","Boyacá","Trimestral","2021 Oct 16 01:54:00 PM","2021 Oct 16 02:25:00 PM","2021 Oct 16 02:24:00 PM","8.06","0"
"Seguridad alimenticia y nutricional","dataset","Secretaria de salud","Salud y Protección Social","El concepto de Seguridad Alimentaria surge en la década del 70,
basado en la producción y disponibilidad alimentaria a nivel global y
nacional. En los años 80, se añadió la idea del acceso, tanto económico
como físico. Y en la década del 90, se llegó al concepto actual que
incorpora la inocuidad y las preferencias culturales, y se reafirma la
Seguridad Alimentaria como un derecho humano.","published","Bogotá D.C.","Secretaría Distrital de Salud","Territorial","Bogotá D.C.","Mensual","2016 Feb 12 08:59:00 PM","2020 Oct 13 03:58:00 PM","2016 Feb 12 09:36:00 PM","6.56","0"
"Causas de consultas Externa  por el Hospital Local los Patios enero 2019","dataset","Secretaria de Salud Alcaldía los Patios","Salud y Protección Social","Mayores causas de consulta Externa en el Hospital Local Patios enero 2019","published","Los Patios","Alcaldía de Los Patios","Territorial","Norte de Santander","Trimestral","2019 Mar 28 10:17:00 PM","2019 Mar 28 10:27:00 PM","2019 Mar 28 10:27:00 PM","7.26","0"
"Reclasificación de estudiantes Oficina de Admisiones","dataset","Universidad del Quindio","Educación","Datos de estudiantes reclasificados para el pago de matricula","published","Armenia","Universidad del Quindío","Territorial","Quindío","Semestral","2020 Apr 15 09:30:00 PM","2020 Apr 15 09:37:00 PM","2020 Apr 15 09:37:00 PM","8.51","0"
"CONTRATOS DE ATENCION A LA POBLACION INFANTIL VIGENCIA 2019","dataset","ICBF","Inclusión Social y Reconciliación","Relación de contratos vigencia 2019 para la atención de la población infantil en todo el territorio colombiano en los año comprendido 2018","published","Bogotá D.C.","Instituto Colombiano de Bienestar Familiar","Nacional","Bogotá D.C.","No aplica","2020 Jan 30 04:36:00 PM","2020 Jan 30 04:51:00 PM","2020 Jan 30 04:51:00 PM","8.3","0"
