"ZONA PORTUARIA               ","SOCIEDAD PORTUARIA","TIPO DE SERVICIO","TIPO DE CARGA","EXPORTACION","IMPORTACIÓN","TRANSBORDO","TRANSITO INTERNACIONAL","FLUVIAL","CABOTAJE","MOVILIZACIONES A BORDO","TRANSITORIA","AÑO VIGENCIA","MES VIGENCIA"
"BARRANQUILLA","SOCIEDAD PORTUARIA MICHELLMAR S.A.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","239","0","0","0","2,023","8"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","PUBLICO","CONTENEDORES","0","0","0","0","1,389","0","0","0","2,022","7"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","PUBLICO","GENERAL","0","0","0","0","1,278","0","0","0","2,019","9"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","0","71,867","0","0","0","0","0","0","2,019","6"
"CARTAGENA","VOPAK COLOMBIA S.A.","PUBLICO","GRANEL LIQUIDO","0","1,096","0","0","0","0","0","0","2,022","4"
"TUMACO","ROMERO Y BURGOS & CIA S.EN C.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","127","0","0","0","2,018","1"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","PUBLICO","CONTENEDORES","0","0","0","0","0","4,856","0","0","2,023","12"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","PUBLICO","CONTENEDORES","0","0","0","0","0","5,081","0","0","2,018","6"
"CARTAGENA","PUERTO BUENAVISTA S.A","PUBLICO","GENERAL","10,481","0","0","0","0","340","0","0","2,024","3"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","PUBLICO","CONTENEDORES","64,461","130,848","4,758","0","0","0","0","0","2,021","4"
"CARTAGENA","PUERTO BUENAVISTA S.A","PUBLICO","GENERAL","4,498","0","0","0","0","768","0","0","2,023","12"
"CARTAGENA","NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A","PRIVADO","GRANEL LIQUIDO","0","0","0","0","0","7,228","0","0","2,023","8"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","98,737","0","0","0","0","0","0","0","2,020","1"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","GENERAL","76,150","11,514","0","0","0","0","0","0","2,022","6"
"CARTAGENA","ZONA FRANCA ARGOS S.A.S.","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","205,211","0","0","0","0","0","0","0","2,025","7"
"CARTAGENA","PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.","PUBLICO","GRANEL LIQUIDO","0","3,049","0","0","0","0","0","0","2,025","8"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GENERAL","0","19","0","0","0","1,401","0","0","2,020","4"
